slug,num,name_en,name_ja,type1,type2,hp,atk,def,spa,spd,spe,ability0_slug,ability1_slug,abilityH_slug,weight_kg,height_m,category,form_type,base_form_slug,fixed_item,fixed_tera_type,gender_rate,sprite_url,nfe,include
taillow,276,Taillow,スバメ,Normal,Flying,40,55,30,30,30,85,guts,,scrappy,2.3,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,true,○
swellow,277,Swellow,オオスバメ,Normal,Flying,60,85,60,75,50,125,guts,,scrappy,19.8,0.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,false,○
nincada,290,Nincada,ツチニン,Bug,Ground,31,45,90,30,30,40,compoundeyes,,runaway,5.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,true,○
ninjask,291,Ninjask,テッカニン,Bug,Flying,61,90,45,50,50,160,speedboost,,infiltrator,12,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,false,○
shedinja,292,Shedinja,ヌケニン,Bug,Ghost,1,90,45,30,30,40,wonderguard,,,1.2,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,false,○
whismur,293,Whismur,ゴニョニョ,Normal,,64,51,23,51,23,28,soundproof,,rattled,16.3,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,true,○
loudred,294,Loudred,ドゴーム,Normal,,84,71,43,71,43,48,soundproof,,scrappy,40.5,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,true,○
exploud,295,Exploud,バクオング,Normal,,104,91,63,91,73,68,soundproof,,scrappy,84,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,false,○
skitty,300,Skitty,エネコ,Normal,,50,45,45,35,35,50,cutecharm,normalize,wonderskin,11,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,true,○
delcatty,301,Delcatty,エネコロロ,Normal,,70,65,65,55,55,90,cutecharm,normalize,wonderskin,32.6,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,false,○
aron,304,Aron,ココドラ,Steel,Rock,50,70,100,40,40,30,sturdy,rockhead,heavymetal,60,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,true,○
lairon,305,Lairon,コドラ,Steel,Rock,60,90,140,50,50,40,sturdy,rockhead,heavymetal,120,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,true,○
electrike,309,Electrike,ラクライ,Electric,,40,45,40,65,40,65,static,lightningrod,minus,15.2,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,true,○
roselia,315,Roselia,ロゼリア,Grass,Poison,50,60,45,100,80,65,naturalcure,poisonpoint,leafguard,2,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,true,○
carvanha,318,Carvanha,キバニア,Water,Dark,45,90,20,65,20,65,roughskin,,speedboost,20.8,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,true,○
wailmer,320,Wailmer,ホエルコ,Water,,130,70,35,70,35,60,waterveil,oblivious,pressure,130,2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,true,○
wailord,321,Wailord,ホエルオー,Water,,170,90,45,90,45,60,waterveil,oblivious,pressure,398,14.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,false,○
spinda,327,Spinda,パッチール,Normal,,60,60,60,60,60,60,owntempo,tangledfeet,contrary,5,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,false,○
lunatone,337,Lunatone,ルナトーン,Rock,Psychic,90,55,65,95,85,70,levitate,,,168,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,false,○
solrock,338,Solrock,ソルロック,Rock,Psychic,90,95,85,55,65,70,levitate,,,154,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,false,○
baltoy,343,Baltoy,ヤジロン,Ground,Psychic,40,40,55,40,70,55,levitate,,,21.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,true,○
claydol,344,Claydol,ネンドール,Ground,Psychic,60,70,105,70,120,75,levitate,,,108,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,false,○
lileep,345,Lileep,リリーラ,Rock,Grass,66,41,77,61,87,23,suctioncups,,stormdrain,23.8,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,true,○
cradily,346,Cradily,ユレイドル,Rock,Grass,86,81,97,81,107,43,suctioncups,,stormdrain,60.4,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,false,○
anorith,347,Anorith,アノプス,Rock,Bug,45,95,50,40,50,75,battlearmor,,swiftswim,12.5,0.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,true,○
armaldo,348,Armaldo,アーマルド,Rock,Bug,75,125,100,70,80,45,battlearmor,,swiftswim,68.2,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,false,○
castform,351,Castform,ポワルン,Normal,,70,70,70,70,70,70,forecast,,,0.8,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,false,○
kecleon,352,Kecleon,カクレオン,Normal,,60,90,70,60,120,40,colorchange,,protean,22,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,false,○
wynaut,360,Wynaut,ソーナノ,Psychic,,95,23,48,23,48,23,shadowtag,,telepathy,14,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,true,○
spheal,363,Spheal,タマザラシ,Ice,Water,70,40,50,55,50,25,thickfat,icebody,oblivious,39.5,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,true,○
sealeo,364,Sealeo,トドグラー,Ice,Water,90,60,70,75,70,45,thickfat,icebody,oblivious,87.6,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,true,○
walrein,365,Walrein,トドゼルガ,Ice,Water,110,80,90,95,90,65,thickfat,icebody,oblivious,150.6,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,false,○
clamperl,366,Clamperl,パールル,Water,,35,64,85,74,55,32,shellarmor,,rattled,52.5,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,true,○
huntail,367,Huntail,ハンテール,Water,,55,104,105,94,75,52,swiftswim,,waterveil,27,1.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,false,○
gorebyss,368,Gorebyss,サクラビス,Water,,55,84,105,114,75,52,swiftswim,,hydration,22.6,1.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,false,○
relicanth,369,Relicanth,ジーランス,Water,Rock,100,90,130,45,65,55,swiftswim,rockhead,sturdy,23.4,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,false,○
bidoof,399,Bidoof,ビッパ,Normal,,59,45,40,35,40,31,simple,unaware,moody,20,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png,true,○
bibarel,400,Bibarel,ビーダル,Normal,Water,79,85,60,55,60,71,simple,unaware,moody,31.5,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,false,○
budew,406,Budew,スボミー,Grass,Poison,40,30,35,50,70,55,naturalcure,poisonpoint,leafguard,1.2,0.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,true,○
roserade,407,Roserade,ロズレイド,Grass,Poison,60,70,65,125,105,90,naturalcure,poisonpoint,technician,14.5,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png,false,○
burmy,412,Burmy,ミノムッチ,Bug,,40,29,45,29,45,36,shedskin,,overcoat,3.4,0.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,true,○
wormadam,413,Wormadam,ミノマダム,Bug,Grass,60,59,85,79,105,36,anticipation,,overcoat,6.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png,false,○
mothim,414,Mothim,ガーメイル,Bug,Flying,70,94,50,94,50,66,swarm,,tintedlens,23.3,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,false,○
cherubi,420,Cherubi,チェリンボ,Grass,,45,35,45,62,53,35,chlorophyll,,,3.3,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png,true,○
cherrim,421,Cherrim,チェリム,Grass,,70,60,70,87,78,85,flowergift,,,9.3,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png,false,○
buneary,427,Buneary,ミミロル,Normal,,55,66,44,44,56,85,runaway,klutz,limber,5.5,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png,true,○
glameow,431,Glameow,ニャルマー,Normal,,49,55,42,42,37,85,limber,owntempo,keeneye,3.9,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,true,○
purugly,432,Purugly,ブニャット,Normal,,71,82,64,64,59,112,thickfat,owntempo,defiant,43.8,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png,false,○
mimejr,439,Mime Jr.,マネネ,Psychic,Fairy,20,25,45,70,90,60,soundproof,filter,technician,13,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/439.png,true,○
chatot,441,Chatot,ペラップ,Normal,Flying,76,65,45,92,42,91,keeneye,tangledfeet,bigpecks,1.9,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png,false,○
skorupi,451,Skorupi,スコルピ,Poison,Bug,40,50,90,30,55,65,battlearmor,sniper,keeneye,12,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png,true,○
drapion,452,Drapion,ドラピオン,Poison,Dark,70,90,110,60,75,95,battlearmor,sniper,keeneye,61.5,1.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/452.png,false,○
carnivine,455,Carnivine,マスキッパ,Grass,,74,100,72,90,72,46,levitate,,,27,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png,false,○
mantyke,458,Mantyke,タマンタ,Water,Flying,45,20,50,60,120,50,swiftswim,waterabsorb,waterveil,65,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/458.png,true,○
lickilicky,463,Lickilicky,ベロベルト,Normal,,110,85,95,80,95,50,owntempo,oblivious,cloudnine,140,1.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/463.png,false,○
tangrowth,465,Tangrowth,モジャンボ,Grass,,100,100,125,110,50,50,chlorophyll,leafguard,regenerator,128.6,2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/465.png,false,○
togekiss,468,Togekiss,トゲキッス,Fairy,Flying,85,50,95,120,115,80,hustle,serenegrace,superluck,38,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/468.png,false,○
victini,494,Victini,ビクティニ,Psychic,Fire,100,100,100,100,100,100,victorystar,,,4,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/494.png,false,○
patrat,504,Patrat,ミネズミ,Normal,,45,55,39,35,39,42,runaway,keeneye,analytic,11.6,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/504.png,true,○
watchog,505,Watchog,ミルホッグ,Normal,,60,85,69,60,69,77,illuminate,keeneye,analytic,27,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/505.png,false,○
lillipup,506,Lillipup,ヨーテリー,Normal,,45,60,45,25,45,55,vitalspirit,pickup,runaway,4.1,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/506.png,true,○
herdier,507,Herdier,ハーデリア,Normal,,65,80,65,35,65,60,intimidate,sandrush,scrappy,14.7,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/507.png,true,○
stoutland,508,Stoutland,ムーランド,Normal,,85,110,90,45,90,80,intimidate,sandrush,scrappy,61,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/508.png,false,○
purrloin,509,Purrloin,チョロネコ,Dark,,41,50,37,50,37,66,limber,unburden,prankster,10.1,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/509.png,true,○
liepard,510,Liepard,レパルダス,Dark,,64,88,50,88,50,106,limber,unburden,prankster,37.5,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/510.png,false,○
pansage,511,Pansage,ヤナップ,Grass,,50,53,48,53,48,64,gluttony,,overgrow,10.5,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png,true,○
simisage,512,Simisage,ヤナッキー,Grass,,75,98,63,98,63,101,gluttony,,overgrow,30.5,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png,false,○
pansear,513,Pansear,バオップ,Fire,,50,53,48,53,48,64,gluttony,,blaze,11,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png,true,○
simisear,514,Simisear,バオッキー,Fire,,75,98,63,98,63,101,gluttony,,blaze,28,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png,false,○
panpour,515,Panpour,ヒヤップ,Water,,50,53,48,53,48,64,gluttony,,torrent,13.5,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png,true,○
simipour,516,Simipour,ヒヤッキー,Water,,75,98,63,98,63,101,gluttony,,torrent,29,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/516.png,false,○
munna,517,Munna,ムンナ,Psychic,,76,25,45,67,55,24,forewarn,synchronize,telepathy,23.3,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/517.png,true,○
musharna,518,Musharna,ムシャーナ,Psychic,,116,55,85,107,95,29,forewarn,synchronize,telepathy,60.5,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/518.png,false,○
pidove,519,Pidove,マメパト,Normal,Flying,50,55,50,36,30,43,bigpecks,superluck,rivalry,2.1,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/519.png,true,○
tranquill,520,Tranquill,ハトーボー,Normal,Flying,62,77,62,50,42,65,bigpecks,superluck,rivalry,15,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/520.png,true,○
unfezant,521,Unfezant,ケンホロウ,Normal,Flying,80,115,80,65,55,93,bigpecks,superluck,rivalry,29,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/521.png,false,○
roggenrola,524,Roggenrola,ダンゴロ,Rock,,55,75,85,25,25,15,sturdy,weakarmor,sandforce,18,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/524.png,true,○
boldore,525,Boldore,ガントル,Rock,,70,105,105,50,40,20,sturdy,weakarmor,sandforce,102,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png,true,○
gigalith,526,Gigalith,ギガイアス,Rock,,85,135,130,60,80,25,sturdy,sandstream,sandforce,260,1.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/526.png,false,○
woobat,527,Woobat,コロモリ,Psychic,Flying,65,45,43,55,43,72,unaware,klutz,simple,2.1,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/527.png,true,○
swoobat,528,Swoobat,ココロモリ,Psychic,Flying,67,57,55,77,55,114,unaware,klutz,simple,10.5,0.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/528.png,false,○
tympole,535,Tympole,オタマロ,Water,,50,50,40,50,40,64,swiftswim,hydration,waterabsorb,4.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/535.png,true,○
palpitoad,536,Palpitoad,ガマガル,Water,Ground,75,65,55,65,55,69,swiftswim,hydration,waterabsorb,17,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/536.png,true,○
seismitoad,537,Seismitoad,ガマゲロゲ,Water,Ground,105,95,75,85,75,74,swiftswim,poisontouch,waterabsorb,62,1.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/537.png,false,○
throh,538,Throh,ナゲキ,Fighting,,120,100,85,30,85,45,guts,innerfocus,moldbreaker,55.5,1.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/538.png,false,○
sawk,539,Sawk,ダゲキ,Fighting,,75,125,75,30,75,85,sturdy,innerfocus,moldbreaker,51,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/539.png,false,○
venipede,543,Venipede,フシデ,Bug,Poison,30,45,59,30,39,57,poisonpoint,swarm,speedboost,5.3,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/543.png,true,○
whirlipede,544,Whirlipede,ホイーガ,Bug,Poison,40,55,99,40,79,47,poisonpoint,swarm,speedboost,58.5,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/544.png,true,○
scolipede,545,Scolipede,ペンドラー,Bug,Poison,60,100,89,55,69,112,poisonpoint,swarm,speedboost,200.5,2.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/545.png,false,○
darumaka,554,Darumaka,ダルマッカ,Fire,,70,90,45,15,45,50,hustle,,innerfocus,37.5,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/554.png,true,○
darmanitan,555,Darmanitan,ヒヒダルマ,Fire,,105,140,55,30,55,95,sheerforce,,zenmode,92.9,1.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/555.png,false,○
maractus,556,Maractus,マラカッチ,Grass,,75,86,67,106,67,60,waterabsorb,chlorophyll,stormdrain,28,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/556.png,false,○
dwebble,557,Dwebble,イシズマイ,Bug,Rock,50,65,85,35,35,55,sturdy,shellarmor,weakarmor,14.5,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/557.png,true,○
crustle,558,Crustle,イワパレス,Bug,Rock,70,105,125,65,75,45,sturdy,shellarmor,weakarmor,200,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/558.png,false,○
sigilyph,561,Sigilyph,シンボラー,Psychic,Flying,72,58,80,103,80,97,wonderskin,magicguard,tintedlens,14,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/561.png,false,○
yamask,562,Yamask,デスマス,Ghost,,38,30,85,55,65,30,mummy,,,1.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/562.png,true,○
cofagrigus,563,Cofagrigus,デスカーン,Ghost,,58,50,145,95,105,30,mummy,,,76.5,1.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/563.png,false,○
tirtouga,564,Tirtouga,プロトーガ,Water,Rock,54,78,103,53,45,22,solidrock,sturdy,swiftswim,16.5,0.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/564.png,true,○
carracosta,565,Carracosta,アバゴーラ,Water,Rock,74,108,133,83,65,32,solidrock,sturdy,swiftswim,81,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/565.png,false,○
archen,566,Archen,アーケン,Rock,Flying,55,112,45,74,45,70,defeatist,,,9.5,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/566.png,true,○
archeops,567,Archeops,アーケオス,Rock,Flying,75,140,65,112,65,110,defeatist,,,32,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/567.png,false,○
trubbish,568,Trubbish,ヤブクロン,Poison,,50,50,62,40,62,65,stench,stickyhold,aftermath,31,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/568.png,true,○
garbodor,569,Garbodor,ダストダス,Poison,,80,95,82,60,82,75,stench,weakarmor,aftermath,107.3,1.9,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/569.png,false,○
vanillite,582,Vanillite,バニプッチ,Ice,,36,50,50,65,60,44,icebody,snowcloak,weakarmor,5.7,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/582.png,true,○
vanillish,583,Vanillish,バニリッチ,Ice,,51,65,65,80,75,59,icebody,snowcloak,weakarmor,41,1.1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/583.png,true,○
vanilluxe,584,Vanilluxe,バイバニラ,Ice,,71,95,85,110,95,79,icebody,snowwarning,weakarmor,57.5,1.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/584.png,false,○
emolga,587,Emolga,エモンガ,Electric,Flying,55,75,60,75,60,103,static,,motordrive,5,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/587.png,false,○
karrablast,588,Karrablast,カブルモ,Bug,,50,75,45,40,45,60,swarm,shedskin,noguard,5.9,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/588.png,true,○
escavalier,589,Escavalier,シュバルゴ,Bug,Steel,70,135,105,60,105,20,swarm,shellarmor,overcoat,33,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/589.png,false,○
frillish,592,Frillish,プルリル,Water,Ghost,55,40,50,65,85,40,waterabsorb,cursedbody,damp,33,1.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/592.png,true,○
jellicent,593,Jellicent,ブルンゲル,Water,Ghost,100,60,70,85,105,60,waterabsorb,cursedbody,damp,135,2.2,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/593.png,false,○
ferroseed,597,Ferroseed,テッシード,Grass,Steel,44,50,91,24,86,10,ironbarbs,,,18.8,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/597.png,true,○
ferrothorn,598,Ferrothorn,ナットレイ,Grass,Steel,74,94,131,54,116,20,ironbarbs,,anticipation,110,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/598.png,false,○
klink,599,Klink,ギアル,Steel,,40,55,70,45,60,30,plus,minus,clearbody,21,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/599.png,true,○
klang,600,Klang,ギギアル,Steel,,60,80,95,70,85,50,plus,minus,clearbody,51,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/600.png,true,○
klinklang,601,Klinklang,ギギギアル,Steel,,60,100,115,70,85,90,plus,minus,clearbody,81,0.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/601.png,false,○
elgyem,605,Elgyem,リグレー,Psychic,,55,55,55,85,55,30,telepathy,synchronize,analytic,9,0.5,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/605.png,true,○
beheeyem,606,Beheeyem,オーベム,Psychic,,75,75,75,125,95,40,telepathy,synchronize,analytic,34.5,1,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/606.png,false,○
shelmet,616,Shelmet,チョボマキ,Bug,,50,40,85,40,65,25,hydration,shellarmor,overcoat,7.7,0.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/616.png,true,○
accelgor,617,Accelgor,アギルダー,Bug,,80,70,40,100,60,145,hydration,stickyhold,unburden,25.3,0.8,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/617.png,false,○
stunfisk,618,Stunfisk,マッギョ,Ground,Electric,109,66,84,81,99,32,static,limber,sandveil,11,0.7,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/618.png,false,○
stunfisk-galar,618,Stunfisk-Galar,マッギョ(ガラル),Ground,Steel,109,81,99,66,84,32,mimicry,,,20.5,0.7,normal,variant,stunfisk,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10182.png,false,○
druddigon,621,Druddigon,クリムガン,Dragon,,77,120,90,60,90,48,roughskin,sheerforce,moldbreaker,139,1.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/621.png,false,○
bouffalant,626,Bouffalant,バッフロン,Normal,,95,110,95,40,95,55,reckless,sapsipper,soundproof,94.6,1.6,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png,false,○
heatmor,631,Heatmor,クイタラン,Fire,,85,97,66,105,66,65,gluttony,flashfire,whitesmoke,58,1.4,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/631.png,false,○
durant,632,Durant,アイアント,Bug,Steel,58,109,112,48,48,109,swarm,hustle,truant,33,0.3,normal,base,,,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/632.png,false,○
